run,subject_id,n_trials,held_out_sample_signature,accuracy,balanced_accuracy,macro_f1
kernel_k11,24,158,bea816d44836810f382adb5363722274bc3cf4552741c51baa9ff3cf8bbfc4cd,0.5506329113924051,0.35593983311374616,0.31149400058530874
kernel_k11,25,156,0dd93b2539b82ca64fe434df01185e6b9c2bc2f11e8362aad6f263547b4b734c,0.6089743589743589,0.4375117635987201,0.44605245639728397
kernel_k11,26,159,14e31386e0570d367d9bf7e424636871085aa5d3ed5329db7c86a553ab4d8fb4,0.5974842767295597,0.35386904761904764,0.36025990731280105
kernel_k11,27,158,ff3b33c2a275cce53908904c4cb548e8f5ea96745bcb172a1e990645539b37ad,0.6835443037974683,0.6033487044356609,0.5965419832456653
kernel_k11,28,157,9d581e872a3dc1381bdd9c8bd841991f21475052eda0c1b01666fca4e0c0ebf7,0.6624203821656051,0.49050285463328935,0.5044563279857398
kernel_k11,29,158,0dfa42cb21e283bfa78b66f5e829fdc15f664454d6aa91bc8f9e6e330e73d583,0.6962025316455697,0.5572024593763725,0.533641623564478
kernel_k11,30,156,d82f870da5ffebcaa0f56ea50876f4c5bfeaff1d35429438348368c993bd38fb,0.6923076923076923,0.5801587301587301,0.5852479600677993
kernel_k11,31,157,25a6ff834addf2ea143b25b0d0264ad48b8d9b2b7cc373698f50ed75a22bfe1e,0.6114649681528662,0.46167105841018885,0.47349355295151413
kernel_k11,32,158,1704ee301fb550f9fa540aa1ae745332b76b7270e8d1ec8f4b3dd0d57a4aeb53,0.8924050632911392,0.8154114906832297,0.8494493707093821
kernel_k11,33,158,250b427d3042682e624d397fc6453373f38f74e172cc81a1eccaab381e69d43d,0.7341772151898734,0.5861001317523056,0.5942399569342575
kernel_k11,34,154,652ac94695799bdf51ac4406af328465f9f092eb1962f0ecf23ab93b4d4c35ad,0.7012987012987013,0.5855699855699855,0.5881974657584413
kernel_k11,35,156,1cbec336ef4d6d2e6e3bfec0b90fd322be71757b3d9c5c3ed0dba897e5a59947,0.9038461538461539,0.8434704184704185,0.8512671179841154
kernel_k11,36,158,67afb2a1ac68e66a76f56157b4eb4a8ccea4fbeafc5864d1951d4b9c9640621c,0.7151898734177216,0.5358256477821695,0.5563195629907819
kernel_k11,37,154,5fdc52b1f738a00655c51cfce62ff37250f0f630e83874560d991b81f5042052,0.6948051948051948,0.6026695526695527,0.5924868168452772
kernel_k11,38,157,87a1d240786fb6c821fe2efb5e0884f625290c8b28280c98e0cac146d0b7877d,0.4267515923566879,0.31391084760649973,0.30256876115285175
kernel_k11,39,157,19343df9087950448f724ef134bb9d10feb9e09568652d777e0fcdc9a79c5d3a,0.643312101910828,0.4559178743961353,0.47050784025771
kernel_k11,40,158,78f3dca5442ed8ddd771eb796512543084c6e72a99cedfc27df7c7604d339492,0.7468354430379747,0.8381383712905452,0.7478659640921548
kernel_k11,41,156,b9866128581e65f35eed50264dd210b1a57901efac94cc77d1923a942ae16db6,0.7628205128205128,0.6594532279314888,0.6751477541371159
kernel_k11,42,156,fc9cc0311ad3daa5f95c40ef97aa6cd6907edb2e7d4ac6eed359e3d51478fff3,0.8012820512820513,0.7035949557688688,0.7178896761133604
kernel_k11,44,157,32d4c889b4881f2bbbb8b9722cb77d3d16830331dbaed85ffa3d08aa2ccdf61c,0.7388535031847133,0.6592336407553798,0.6500046150807961
kernel_k11,45,156,c09ea4e8e6628680a0ba0c5a5c4d3cbb9097f4a09c7136ce7d68d48f3ffc473e,0.7307692307692307,0.5767833615659703,0.5885181603266709
kernel_k11,46,158,fb06a9ac7cfc6811fbe7741889c1c04f0bed554464c0c0174dfb107c337e92e3,0.6012658227848101,0.3958278436539306,0.40302137810170247
kernel_k11,47,157,0c35844343f8be723cf34d9de36d74c4153edb2508e14229393fe07fcf9709ad,0.535031847133758,0.38896103896103895,0.3853200843880556
kernel_k11,48,156,327b38709d868763426f7822b69d00eae0669885e3d2d3add965ee7cb49bfefe,0.6730769230769231,0.6012751741012611,0.5987910636480227
kernel_k11,49,159,4d3f3f9e0f79dd0349c651d437d2dd8849332674e474a5ae0b0f4cd3c910a1ef,0.610062893081761,0.44159530083443127,0.45840120663650075
kernel_k11,50,156,4e92b41704b5b076a289095a671d4eddc263fa05f0da778dc0c65f43590a95af,0.7564102564102564,0.5817774013426187,0.596739913318938
kernel_k11,51,159,46d293cd1e6059fb96793e365441ab67bb8aacb55d00267561490e53e05f50aa,0.660377358490566,0.4366071428571429,0.4743617187294018
kernel_k11,52,158,254bf46edda4932d2f4e1f41b13a6513e0ee840ed6191897591e7a586d60b752,0.7721518987341772,0.6971273291925466,0.683556535077966
kernel_k11,53,157,cedcb780f1d8977227578d3e87c925f4436464d550bff06fdc1244423191cc50,0.8280254777070064,0.8320377689942907,0.7928531825238412
kernel_k11,54,157,ae34fb9ac704529e79fb38d78efbec878f3138a8c368ceeb8a83f0349bcce86a,0.7515923566878981,0.6476174791392182,0.644961938951486
kernel_k11,55,157,a7629f4527bc1b1e562477afb986e82295ec09fd3fed91b59c36cfba8e6d3ead,0.7898089171974523,0.697145366710584,0.7128543499511241
kernel_k11,56,157,143be3c310281cf95d243c515106a993bc5e303ff855b6018da11db4493b7009,0.7006369426751592,0.5157553798858147,0.5377554519962072
